CustomerID,Segment,churn_prediction,marketing_action
202,Recent Low-Spenders,0,Upsell: Bundle Offer
203,At-Risk,1,Reactivation Email + Big Discount
204,At-Risk,1,Reactivation Email + Big Discount
205,Recent Low-Spenders,0,Upsell: Bundle Offer
206,Recent Low-Spenders,0,Upsell: Bundle Offer
207,At-Risk,1,Reactivation Email + Big Discount
208,Recent Low-Spenders,0,Upsell: Bundle Offer
209,At-Risk,1,Reactivation Email + Big Discount
210,Recent Low-Spenders,0,Upsell: Bundle Offer
211,Recent Low-Spenders,0,Upsell: Bundle Offer
212,At-Risk,1,Reactivation Email + Big Discount
213,At-Risk,1,Reactivation Email + Big Discount
214,At-Risk,1,Reactivation Email + Big Discount
215,At-Risk,1,Reactivation Email + Big Discount
216,Recent Low-Spenders,0,Upsell: Bundle Offer
217,Recent Low-Spenders,0,Upsell: Bundle Offer
218,At-Risk,1,Reactivation Email + Big Discount
219,At-Risk,1,Reactivation Email + Big Discount
220,Recent Low-Spenders,0,Upsell: Bundle Offer
221,At-Risk,1,Reactivation Email + Big Discount
222,Recent Low-Spenders,0,Upsell: Bundle Offer
223,At-Risk,1,Reactivation Email + Big Discount
224,At-Risk,1,Reactivation Email + Big Discount
225,Recent Low-Spenders,0,Upsell: Bundle Offer
226,Recent Low-Spenders,0,Upsell: Bundle Offer
227,At-Risk,1,Reactivation Email + Big Discount
228,Recent Low-Spenders,0,Upsell: Bundle Offer
229,At-Risk,1,Reactivation Email + Big Discount
230,At-Risk,1,Reactivation Email + Big Discount
231,Recent Low-Spenders,0,Upsell: Bundle Offer
232,At-Risk,1,Reactivation Email + Big Discount
233,Recent Low-Spenders,0,Upsell: Bundle Offer
234,Recent Low-Spenders,0,Upsell: Bundle Offer
235,Recent Low-Spenders,0,Upsell: Bundle Offer
236,Recent Low-Spenders,0,Upsell: Bundle Offer
237,Recent Low-Spenders,0,Upsell: Bundle Offer
238,Recent Low-Spenders,0,Upsell: Bundle Offer
239,Recent Low-Spenders,0,Upsell: Bundle Offer
240,Recent Low-Spenders,0,Upsell: Bundle Offer
241,Recent Low-Spenders,0,Upsell: Bundle Offer
242,Recent Low-Spenders,0,Upsell: Bundle Offer
243,At-Risk,1,Reactivation Email + Big Discount
244,Recent Low-Spenders,0,Upsell: Bundle Offer
245,At-Risk,1,Reactivation Email + Big Discount
246,At-Risk,1,Reactivation Email + Big Discount
247,At-Risk,1,Reactivation Email + Big Discount
248,At-Risk,1,Reactivation Email + Big Discount
249,Recent Low-Spenders,0,Upsell: Bundle Offer
250,Recent Low-Spenders,0,Upsell: Bundle Offer
251,Recent Low-Spenders,0,Upsell: Bundle Offer
252,At-Risk,1,Reactivation Email + Big Discount
253,At-Risk,1,Reactivation Email + Big Discount
254,Recent Low-Spenders,0,Upsell: Bundle Offer
255,Recent Low-Spenders,0,Upsell: Bundle Offer
256,At-Risk,1,Reactivation Email + Big Discount
257,At-Risk,1,Reactivation Email + Big Discount
258,Recent Low-Spenders,0,Upsell: Bundle Offer
259,Recent Low-Spenders,0,Upsell: Bundle Offer
260,At-Risk,1,Reactivation Email + Big Discount
261,At-Risk,1,Reactivation Email + Big Discount
262,At-Risk,1,Reactivation Email + Big Discount
263,Recent Low-Spenders,0,Upsell: Bundle Offer
264,Recent Low-Spenders,0,Upsell: Bundle Offer
265,Recent Low-Spenders,0,Upsell: Bundle Offer
266,At-Risk,1,Reactivation Email + Big Discount
